
股票名称,市净率,行业名称,行业市净率,个股行业市净率比,市盈率,行业市盈率,个股行业市盈率比,最新价格,市值,日期,行业最新价格,行业市值,yahoo目标均价,yahoo目标最高价,yahoo目标最低价,当前价格,yahoo预测上涨/下跌空间(%),融资买入额,融券卖出额,VIX指数,CNN恐慌与贪婪指数
瑞普生物,2.9639,农药兽药,2.7293,1.086,19.71,42.5632,0.4631,21.52,7288773576.96,2025-09-11,11.32,346473413517.42,28.29,36.16,23.0,21.76,30.01,29639.0,1971.0,15.04,50.2
伊利股份,26.8454,食品饮料,5.7987,4.6296,12.61,40.78,0.3092,28.43,180761661587.12,2025-09-11,20.37,1758283736258.1,,,,,,,,15.04,50.2
股票名称,市净率,行业名称,行业市净率,个股行业市净率比,市盈率,行业市盈率,个股行业市盈率比,最新价格,市值,日期,行业最新价格,行业市值,yahoo目标均价,yahoo目标最高价,yahoo目标最低价,当前价格,yahoo预测上涨/下跌空间(%),融资买入额,融券卖出额,VIX指数,CNN恐慌与贪婪指数
美亚光电,6.3484,专用设备,6.4526,0.9839,29.81,86.4513,0.3448,20.7,8871999519.9,2025-09-12,16.27,2057760786181.96,20.24,25.6,16.6,20.46,-1.08,63484.0,2981.0,15.35,54.29
鱼跃医疗,7.4057,医疗器械,5.1913,1.4265,16.28,56.5352,0.288,39.57,36722577885.84,2025-09-12,32.75,1503134969418.85,49.33,58.85,44.0,39.06,26.29,74057.0,1628.0,15.35,54.29
影视ETF,10.1188,,,,,,,11.44,80211765.0,2025-09-12,,,,,,,,,,15.35,54.29
瑞普生物,3.2593,农药兽药,2.7366,1.191,19.57,42.5424,0.46,21.76,7235179653.6,2025-09-12,11.29,345750751885.37,28.29,36.16,23.0,21.6,30.97,32593.0,1957.0,15.35,54.29
伊利股份,50.1797,食品饮料,5.6628,8.8613,12.41,40.1927,0.3088,28.72,177803514618.25,2025-09-12,20.06,1731190430404.42,,,,,,,,15.35,54.29
股票名称,市净率,行业名称,行业市净率,个股行业市净率比,市盈率,行业市盈率,个股行业市盈率比,最新价格,市值,日期,行业最新价格,行业市值,yahoo目标均价,yahoo目标最高价,yahoo目标最低价,当前价格,yahoo预测上涨/下跌空间(%),融资买入额,融券卖出额,VIX指数,CNN恐慌与贪婪指数
美亚光电,6.3484,专用设备,6.4526,0.9839,29.81,86.4513,0.3448,20.7,8871999519.9,2025-09-13,16.27,2057760786181.96,20.24,25.6,16.6,20.46,-1.08,63484.0,2981.0,14.71,54.23
鱼跃医疗,7.4057,医疗器械,5.1913,1.4265,16.28,56.5352,0.288,39.57,36722577885.84,2025-09-13,32.75,1503134969418.85,49.33,58.85,44.0,39.06,26.29,74057.0,1628.0,14.71,54.23
影视ETF,10.1188,,,,,,,11.44,80211765.0,2025-09-13,,,,,,,,,,14.71,54.23
瑞普生物,3.2593,农药兽药,2.7366,1.191,19.57,42.5424,0.46,21.76,7235179653.6,2025-09-13,11.29,345750751885.37,28.29,36.16,23.0,21.6,30.97,32593.0,1957.0,14.71,54.23
伊利股份,50.1797,食品饮料,5.6628,8.8613,12.41,40.1927,0.3088,28.72,177803514618.25,2025-09-13,20.06,1731190430404.42,,,,,,,,14.71,54.23
股票名称,市净率,行业名称,行业市净率,个股行业市净率比,市盈率,行业市盈率,个股行业市盈率比,最新价格,市值,日期,行业最新价格,行业市值,yahoo目标均价,yahoo目标最高价,yahoo目标最低价,当前价格,yahoo预测上涨/下跌空间(%),融资买入额,融券卖出额,VIX指数,CNN恐慌与贪婪指数
